msisdn,week_start,weekly_revenue,total_events,sms_events,voice_events,is_qualifying,first_name,last_name,region,date_of_birth,sim_activation_date,source_system_name
27709654582,2025-07-14,438.4099999999999,17,0,9,1,,,,,,
27718061525,2025-07-14,434.38,15,1,11,1,,,,,,
27777008770,2025-07-14,431.5900000000001,19,1,9,1,Ashley,Bond,Ekurhuleni,11 10 1945,2025-05-27,VMobile
27750688826,2025-07-14,429.41999999999996,22,0,14,1,Thabisile,Gabhisa,Pretoria,08 09 2000,2023-09-30,VMobile
27724778385,2025-07-14,423.92,19,0,13,1,Gugulethu,Hlophe,Johannesburg,08 02 1961,2023-08-20,VMobile
27780348072,2025-07-14,422.45,15,1,8,1,Amahle,Mbhobho,Cape Town,,2024-01-15,ArrowMobile
27711572067,2025-07-14,421.4699999999999,25,1,12,1,Mitchell,Clark,Polokwane,04 10 1957,2024-10-04,VMobile
27748023717,2025-07-14,419.94999999999993,17,1,7,1,Sibusisiwe,Mazibuko,Vereeniging,18 06 1943,2025-06-13,VMobile
27734401930,2025-07-14,419.65,16,1,11,1,,,,,,
27748419705,2025-07-14,418.8500000000001,19,2,8,1,Sibonelo,Mavundla,Cape Town,,2023-07-16,ArrowMobile
27718448667,2025-07-14,418.32000000000005,24,1,11,1,Michael,Cooper,Durban,04 08 1957,2023-10-28,VMobile
27775025294,2025-07-14,415.47999999999996,18,1,7,1,,,,,,
27776745900,2025-07-14,414.89,17,1,10,1,,,,,,
27705781665,2025-07-14,413.97,15,0,8,1,,,,,,
27703678152,2025-07-14,410.90999999999997,23,1,10,1,Busisiwe,Hadebe,Boksburg,,2025-02-07,ArrowMobile
27719118275,2025-07-14,410.32,18,1,7,1,Nomthandazo,Mbuyise,Ekurhuleni,01 04 1940,2023-11-01,VMobile
27735515302,2025-07-14,409.62,18,2,11,1,Simphiwe,Ludonga,Rustenburg,13 01 1943,2023-08-11,VMobile
27764031374,2025-07-14,407.36,19,1,7,1,Lungile,Siyaya,Ekurhuleni,20 11 1953,2025-06-07,VMobile
27757073185,2025-07-14,405.75,25,1,15,1,Ryan,Taylor,Krugersdorp,,2024-09-08,ArrowMobile
27727246392,2025-07-14,405.58,19,1,10,1,Jabulani,Mafulela,Newcastle,,2023-07-20,ArrowMobile
27734719249,2025-07-14,401.2,18,1,8,1,Chad,Welch,East London,,2024-06-13,ArrowMobile
27768158896,2025-07-14,396.46999999999997,16,0,9,1,Thembisile,Shelembe,Cape Town,,2023-07-22,ArrowMobile
27714271871,2025-07-14,394.61000000000007,20,0,12,1,Patrick,Ferrell,Kimberley,07 08 1975,2025-04-02,VMobile
27703402404,2025-07-14,391.89,11,2,7,1,,,,,,
27737391314,2025-07-14,388.59000000000003,12,0,8,1,,,,,,
27704702209,2025-07-14,387.32,22,1,11,1,Andile,Sangweni,Johannesburg,,2025-05-02,ArrowMobile
27701525711,2025-07-14,385.10999999999996,16,1,11,1,Sibongile,Gxabhashe,Welkom,,2023-07-17,ArrowMobile
27766307074,2025-07-14,382.24,21,2,10,1,,,,,,
27789810620,2025-07-14,380.22999999999996,16,0,11,1,Thabisile,Cebekhulu,Ekurhuleni,23 03 1964,2024-04-11,VMobile
27736548736,2025-07-14,378.25000000000006,22,0,10,1,Sandra,Harper,Pretoria,23 09 1988,2023-07-23,VMobile
27745495609,2025-07-14,372.62,12,0,7,1,Thomas,Reed,Kimberley,,2023-08-04,ArrowMobile
27715586306,2025-07-14,372.49,16,1,9,1,Sandile,Ndonga,Kaapstad,,2024-04-01,ArrowMobile
27728019757,2025-07-14,370.49,18,3,11,1,,,,,,
27779961344,2025-07-14,366.8999999999999,13,0,8,1,Langalibalele,Nyambose,Krugersdorp,22 11 1966,2024-05-31,VMobile
27740027276,2025-07-14,366.83000000000004,13,0,8,1,Mzamo,Sembathwa,Johannesburg,,2025-05-20,ArrowMobile
27732960859,2025-07-14,365.3,15,1,11,1,,,,,,
27734762586,2025-07-14,363.84,11,1,5,1,Mandlakhe,Biyase,Durban,11 10 1970,2024-12-25,VMobile
27740348711,2025-07-14,363.4699999999999,21,0,11,1,Olwethu,Mnomiya,Durban,25 05 1941,2023-09-25,VMobile
27771477596,2025-07-14,362.93000000000006,15,1,7,1,Kathryn,Ryan,West Rand,,2024-06-21,ArrowMobile
27728547628,2025-07-14,361.09,17,2,10,1,Janet,Williams,Springs,,2023-12-05,ArrowMobile
27783253285,2025-07-14,359.73,17,1,10,1,Jacqueline,Sutton,Pretoria,13 06 1944,2023-07-25,VMobile
27714247268,2025-07-14,358.64,19,0,12,1,Mandla,Mtuswa,George,,2025-02-25,ArrowMobile
27753445274,2025-07-14,355.65999999999997,21,1,7,1,,,,,,
27761935085,2025-07-14,354.66,18,0,11,1,,,,,,
27704131178,2025-07-14,352.65999999999997,10,1,3,1,Lindsay,Blair,Cape Town,31 01 1976,2024-09-22,VMobile
27740407777,2025-07-14,352.28000000000003,16,1,8,1,,,,,,
27734810654,2025-07-14,351.2300000000001,15,0,8,1,,,,,,
27726147995,2025-07-14,350.73999999999995,19,0,10,1,,,,,,
27706908401,2025-07-14,347.4699999999999,20,1,11,1,,,,,,
27790681902,2025-07-14,347.28999999999996,16,1,13,1,Nhlanhla,Nhlane,Johannesburg,,2024-10-28,ArrowMobile
27775448067,2025-07-14,346.90000000000003,18,2,10,1,Silondile,Guliwe,Cape Town,29 06 1990,2024-04-01,VMobile
27742020320,2025-07-14,345.88,13,1,7,1,Nothando,Shoyisa,Ekurhuleni,,2025-05-03,ArrowMobile
27731726871,2025-07-14,344.88,13,1,8,1,Charlene,Randall,Cape Town,,2023-08-30,ArrowMobile
27729603611,2025-07-14,344.78000000000003,19,0,9,1,,,,,,
27788451269,2025-07-14,343.99,17,0,14,1,Amahle,Ndima,Ekurhuleni,11 07 1966,2024-04-17,VMobile
27796004479,2025-07-14,341.5,22,1,11,1,SimphiweyiNkosi,Mahlinza,Nelspruit,,2024-10-28,ArrowMobile
27717601695,2025-07-14,340.49000000000007,14,1,7,1,Jason,Hahn,Pretoria,,2024-10-14,ArrowMobile
27729619869,2025-07-14,339.73,15,0,8,1,Sibusisiwe,Andile,Durban,,2024-12-01,ArrowMobile
27775270396,2025-07-14,339.42,13,1,4,1,SimphiweyiNkosi,Dlambula,Pretoria,,2023-07-26,ArrowMobile
27786671547,2025-07-14,336.24999999999994,12,1,6,1,Khanyisile,Mthethwa,Cape Town,,2023-12-27,ArrowMobile
27761598472,2025-07-14,336.03000000000003,15,1,9,1,Thabisile,Mdaka,Cape Town,,2023-10-05,ArrowMobile
27787961134,2025-07-14,335.89,19,1,10,1,Londisizwe,Gcwabe,Cape Town,04 11 1980,2024-03-04,VMobile
27789209708,2025-07-14,335.73,16,1,8,1,Daniel,Burton,Johannesburg,,2024-02-05,ArrowMobile
27738031248,2025-07-14,334.75000000000006,16,1,10,1,Mandla,Gambu,Johannesburg,03 08 1984,2023-12-05,VMobile
27744036820,2025-07-14,333.75,19,1,10,1,,,,,,
27755830723,2025-07-14,332.92999999999995,17,1,9,1,Trevor,Campos,Johannesburg,10 03 1998,2024-07-29,VMobile
27750818959,2025-07-14,329.3499999999999,12,2,5,1,,,,,,
27767768686,2025-07-14,329.28,14,1,6,1,,,,,,
27753131305,2025-07-14,328.76,15,1,9,1,Busisiwe,Nyanda,Newcastle,,2025-02-17,ArrowMobile
27710091970,2025-07-14,325.68,18,0,6,1,Londiwe,Mabhoko,Cape Town,01 12 1940,2024-05-09,VMobile
27728744137,2025-07-14,319.17999999999995,9,0,4,1,,,,,,
27728781369,2025-07-14,318.84999999999997,14,0,11,1,Antony,Buckley,Cape Town,,2024-06-20,ArrowMobile
27729675831,2025-07-14,316.61999999999995,18,0,13,1,Nomagugu,Nkomo,West Rand,02 07 1990,2024-09-06,VMobile
27788255410,2025-07-14,316.14000000000004,13,1,8,1,,,,,,
27789793342,2025-07-14,315.24000000000007,17,0,9,1,Amy,Robinson,Pietermaritzburg,,2023-10-25,ArrowMobile
27709798813,2025-07-14,313.99000000000007,15,1,11,1,Thabisa,Mgenge,Bloemfontein,,2023-09-23,ArrowMobile
27726176224,2025-07-14,313.52,15,2,10,1,Vanessa,Brooks,Cape Town,,2025-05-28,ArrowMobile
27700408017,2025-07-14,313.35999999999996,17,0,11,1,,,,,,
27745858892,2025-07-14,311.62,13,0,5,1,Nhlanhla,Mzizi,Ekurhuleni,08 04 2006,2024-07-02,VMobile
27732183258,2025-07-14,310.99,15,0,11,1,,,,,,
27738285947,2025-07-14,310.84000000000003,17,0,9,1,,,,,,
27730210420,2025-07-14,310.52,23,0,16,1,Amelia,Oliver,Johannesburg,,2024-11-18,ArrowMobile
27738312041,2025-07-14,309.61,13,2,3,1,Lungile,Nzimande,Ekurhuleni,,2024-05-31,ArrowMobile
27770570082,2025-07-14,306.88000000000005,16,0,10,1,Nomusa,Hlomuka,Ekurhuleni,29 02 2004,2023-09-10,VMobile
27700536653,2025-07-14,306.6,16,0,12,1,,,,,,
27780056550,2025-07-14,306.03999999999996,14,1,8,1,,,,,,
27766591547,2025-07-14,305.0300000000001,15,0,8,1,Thembisile,Lukhele,Durban,19 09 1943,2023-09-18,VMobile
27706374564,2025-07-14,304.96000000000004,16,0,9,1,Bhekisisa,Ndiyema,West Rand,,2025-03-31,ArrowMobile
27753154430,2025-07-14,304.81999999999994,19,0,12,1,Mark,Davies,Pretoria,22 05 1947,2023-10-02,VMobile
27702126483,2025-07-14,303.38,17,0,6,1,,,,,,
27790328958,2025-07-14,302.18999999999994,18,1,8,1,,,,,,
27799933613,2025-07-14,300.49,14,0,12,1,Sithembiso,Mvubu,Benoni,,2024-09-29,ArrowMobile
27776715116,2025-07-14,300.29999999999995,16,0,12,1,Siyabonga,Hlatshwayo,East London,31 01 1980,2024-01-01,VMobile
27711214656,2025-07-14,299.73999999999995,14,0,8,1,Lungile,Shozi,Benoni,09 11 1970,2023-09-10,VMobile
27702970958,2025-07-14,299.52,11,1,5,1,Nokulunga,Mhlungu,West Rand,11 03 1977,2025-04-16,VMobile
27721340588,2025-07-14,298.0,10,1,4,1,,,,,,
27781102199,2025-07-14,297.92,11,0,6,1,,,,,,
27760905385,2025-07-14,297.15000000000003,15,1,9,1,Nathan,Harris,Durban,10 05 1950,2025-03-13,VMobile
27704552601,2025-07-14,297.1,17,0,9,1,,,,,,
27719729993,2025-07-14,296.92,23,0,14,1,Hannah,Young,Johannesburg,04 05 1983,2024-08-28,VMobile
27708162164,2025-07-14,296.15,19,0,10,1,,,,,,
27746205845,2025-07-14,293.74000000000007,15,0,6,1,,,,,,
27707033903,2025-07-14,291.41999999999996,17,0,10,1,Sibusisiwe,Mtolo,Ekurhuleni,,2024-08-11,ArrowMobile
27775640687,2025-07-14,291.38000000000005,19,0,14,1,Thando,Mavundla,Port Elizabeth,,2024-05-05,ArrowMobile
27702796440,2025-07-14,291.34999999999997,17,0,11,1,Lewis,Evans,Pietermaritzburg,,2024-12-05,ArrowMobile
27704465602,2025-07-14,290.21,14,1,6,1,John,Tran,Pretoria,,2024-09-08,ArrowMobile
27708030287,2025-07-14,289.93,13,0,6,1,Linda,Mellor,Durban,,2024-05-12,ArrowMobile
27704753382,2025-07-14,288.46,18,0,10,1,Nomathalente,Shoba,Port Elizabeth,06 09 1962,2024-08-06,VMobile
27770953276,2025-07-14,288.44,20,0,11,1,,,,,,
27732577687,2025-07-14,287.53,15,1,7,1,Musa,Jibela,Witbank,26 11 2003,2024-06-25,VMobile
27765030894,2025-07-14,286.93,17,0,12,1,Jill,Miah,Ekurhuleni,16 01 1981,2025-06-05,VMobile
27792273093,2025-07-14,285.58,16,0,10,1,Mthokozisi,Kubheka,Soshanguve,,2025-02-04,ArrowMobile
27764351821,2025-07-14,285.29999999999995,15,0,10,1,,,,,,
27796664125,2025-07-14,284.2,9,1,4,1,Thandazile,Fakude,Johannesburg,,2024-06-26,ArrowMobile
27719015850,2025-07-14,282.99,15,0,11,1,Sihawukele,Nongalo,Ekurhuleni,,2023-12-04,ArrowMobile
27729733969,2025-07-14,282.9199999999999,18,0,11,1,,,,,,
27776874455,2025-07-14,282.42,16,1,10,1,Bandile,Nkwanyana,Pretoria,,2024-04-29,ArrowMobile
27706327368,2025-07-14,281.83,15,0,9,1,Henry,Smith,Pretoria,01 02 1949,2024-06-24,VMobile
27781311807,2025-07-14,281.41999999999996,17,0,11,1,Vincent,Read,Johannesburg,28 09 1962,2025-03-12,VMobile
27758622777,2025-07-14,281.38,14,0,9,1,,,,,,
27720029924,2025-07-14,280.1,16,0,14,1,Mnqobi,Hlongwane,Cape Town,,2024-05-28,ArrowMobile
27706347171,2025-07-14,279.78999999999996,18,0,9,1,,,,,,
27798062959,2025-07-14,278.34000000000003,10,0,5,1,,,,,,
27734580420,2025-07-14,277.23,12,0,6,1,,,,,,
27782940238,2025-07-14,276.28000000000003,16,0,11,1,Nobantu,Mlondo,Boksburg,,2025-03-26,ArrowMobile
27796967165,2025-07-14,275.63000000000005,17,0,11,1,,,,,,
27727400477,2025-07-14,273.42,17,0,11,1,Ruth,Griffiths,Pretoria,20 01 1990,2025-03-21,VMobile
27752176619,2025-07-14,273.34,18,2,9,1,Nonjabulo,Bayeni,Durban,01 07 2004,2024-11-21,VMobile
27767399287,2025-07-14,273.27,11,0,5,1,Duncan,Humphries,Vereeniging,,2024-06-16,ArrowMobile
27725463719,2025-07-14,272.68,14,1,5,1,Nomathalente,Ntshingila,Durban,,2024-02-15,ArrowMobile
27790732780,2025-07-14,272.44,19,0,14,1,Matthew,Davis,Pretoria,04 03 1946,2024-06-26,VMobile
27738452446,2025-07-14,271.78999999999996,13,1,10,1,Mthokozisi,Ximba,Pretoria,10 12 1998,2025-03-08,VMobile
27786740905,2025-07-14,269.63,19,1,12,1,,,,,,
27724493478,2025-07-14,268.18,17,0,8,1,,,,,,
27767973262,2025-07-14,267.89000000000004,19,0,13,1,Nonjabulo,Nhlanhlampofu,Ekurhuleni,17 05 1968,2024-05-31,VMobile
27774230241,2025-07-14,267.24,16,0,8,1,Njabulo,Sikobi,Vereeniging,26 07 1946,2024-11-09,VMobile
27798290960,2025-07-14,267.12000000000006,16,0,9,1,Veronica,Bowman,Johannesburg,,2024-07-27,ArrowMobile
27781238778,2025-07-14,265.49,16,0,10,1,Zenzile,Phuthini,Bloemfontein,,2023-10-20,ArrowMobile
27714185136,2025-07-14,265.07,17,0,8,1,,,,,,
27716126226,2025-07-14,264.19000000000005,22,0,12,1,Dumisani,Musi,Thohoyandou,,2024-10-07,ArrowMobile
27700498064,2025-07-14,262.96,16,0,9,1,,,,,,
27767632849,2025-07-14,262.5,16,1,12,1,Erica,Mcclain,Ekurhuleni,,2024-09-09,ArrowMobile
27779545098,2025-07-14,261.68,13,1,5,1,Bhekokwakhe,Mafobo,Cape Town,,2024-04-16,ArrowMobile
27754907568,2025-07-14,261.58,14,0,6,1,Bhekisisa,Sokhela,Vereeniging,16 10 1977,2024-09-27,VMobile
27779152086,2025-07-14,259.8900000000001,23,0,11,1,Karen,Carter,Johannesburg,,2025-01-13,ArrowMobile
27795728959,2025-07-14,259.49,17,0,11,1,,,,,,
27722747624,2025-07-14,258.47999999999996,19,0,9,1,Lwat,Msane,Ekurhuleni,,2024-04-20,ArrowMobile
27713677185,2025-07-14,258.3,17,0,8,1,Simphiwe,Makhoba,Polokwane,,2024-04-17,ArrowMobile
27707724345,2025-07-14,256.8,10,1,2,1,Donald,Taylor,Pietermaritzburg,,2024-01-12,ArrowMobile
27734011187,2025-07-14,256.04,19,0,8,1,Nobantu,Duze,Krugersdorp,27 07 1967,2025-04-02,VMobile
27759967153,2025-07-14,255.32,13,0,8,1,,,,,,
27740715738,2025-07-14,255.14999999999998,8,1,3,1,Brittany,Johnson,Johannesburg,,2024-11-12,ArrowMobile
27769640012,2025-07-14,254.69,17,0,11,1,Kirsty,May,Port Elizabeth,02 06 1945,2024-12-16,VMobile
27775957924,2025-07-14,252.36999999999998,14,0,9,1,Amanda,Martinez,Ekurhuleni,27 06 1984,2023-10-27,VMobile
27740837531,2025-07-14,251.51000000000002,14,0,9,1,Chelsea,Jackson,Durban,17 03 1989,2023-09-13,VMobile
27746545449,2025-07-14,251.05,14,1,7,1,Gugu,Mthonti,Pretoria,06 09 1981,2024-05-26,VMobile
27739126870,2025-07-14,250.21,18,0,12,1,Nancy,Baker,West Rand,28 08 1973,2024-12-19,VMobile
27736463373,2025-07-14,250.16000000000003,13,1,10,1,Gugu,Mnyandu,Durban,,2023-12-26,ArrowMobile
27733128243,2025-07-14,250.05,16,0,10,1,Siphesihle,Mnangwe,Vereeniging,,2024-01-20,ArrowMobile
27759277187,2025-07-14,249.53000000000003,17,1,13,1,Sihawukele,Makhanya,Ekurhuleni,23 10 2005,2024-01-05,VMobile
27711688823,2025-07-14,246.26999999999998,17,0,13,1,Joan,Naylor,Klerksdorp,,2024-07-18,ArrowMobile
27733195138,2025-07-14,246.17999999999995,19,1,10,1,Amahle,Magujwa,Newcastle,,2024-03-14,ArrowMobile
27709050860,2025-07-14,245.36999999999998,21,0,14,1,Andile,Mangethe,Port Elizabeth,30 07 2002,2024-12-01,VMobile
27711312486,2025-07-14,244.37,18,0,5,1,,,,,,
27776328452,2025-07-14,241.19000000000005,10,1,4,1,Zenzile,Phuthini,Uitenhage,,2024-04-29,ArrowMobile
27703027009,2025-07-14,240.99999999999997,18,0,9,1,Luyanda,Madinane,Cape Town,,2024-06-29,ArrowMobile
27735045002,2025-07-14,240.35999999999999,12,0,7,1,Siphesihle,Ngcolosi,West Rand,,2024-05-27,ArrowMobile
27755026696,2025-07-14,239.73,16,0,10,1,,,,,,
27796509072,2025-07-14,239.7,11,1,6,1,,,,,,
27705723746,2025-07-14,239.28,13,0,6,1,Bandile,Ngungunyana,Soshanguve,,2023-11-29,ArrowMobile
27732045020,2025-07-14,237.71,14,0,6,1,Mandlakhe,Gotsholo,Welkom,30 07 1994,2024-03-27,VMobile
27771918275,2025-07-14,237.18,15,1,9,1,,,,,,
27718136627,2025-07-14,236.4,12,1,7,1,Ashley,Miller,Ekurhuleni,,2025-05-24,ArrowMobile
27743417384,2025-07-14,236.03,20,0,12,1,William,Gonzalez,Cape Town,,2023-08-19,ArrowMobile
27738718563,2025-07-14,235.07,15,1,11,1,Kyle,Brown,Cape Town,,2025-04-28,ArrowMobile
27766354480,2025-07-14,233.92999999999998,14,1,7,1,Alexander,Le,Krugersdorp,,2025-04-13,ArrowMobile
27741042905,2025-07-14,233.29000000000002,13,0,11,1,,,,,,
27758744686,2025-07-14,232.99,15,1,5,1,Teresa,Walsh,Cape Town,,2025-04-29,ArrowMobile
27714005115,2025-07-14,232.25,15,0,8,1,Gugu,Gcaleka,Nelspruit,10 05 1950,2024-03-29,VMobile
27771440865,2025-07-14,231.51999999999998,8,0,5,1,,,,,,
27771920365,2025-07-14,230.89000000000001,20,0,14,1,Shawn,Flowers,East London,,2024-12-27,ArrowMobile
27796205527,2025-07-14,228.39999999999998,11,0,7,1,SimphiweyiNkosi,Msani,Johannesburg,27 04 1978,2024-02-12,VMobile
27739493210,2025-07-14,228.26000000000005,18,0,8,1,Gregory,Robinson,Cape Town,18 10 1997,2024-01-05,VMobile
27792348065,2025-07-14,228.22000000000003,16,0,10,1,Lucy,Wright,Johannesburg,03 09 1994,2024-09-29,VMobile
27711810165,2025-07-14,227.92,12,1,9,1,Thando,Vilakazi,Johannesburg,01 07 1962,2024-08-23,VMobile
27761465695,2025-07-14,226.84999999999997,17,0,12,1,Gugulethu,Mahlase,Cape Town,21 08 1960,2024-10-06,VMobile
27795885602,2025-07-14,226.55999999999997,15,0,11,1,,,,,,
27761389488,2025-07-14,226.54,14,0,8,1,Londisizwe,Ndaba,Cape Town,,2024-07-21,ArrowMobile
27746332321,2025-07-14,224.77,10,0,7,1,Thandazile,Khathide,Ekurhuleni,,2024-02-23,ArrowMobile
27778724103,2025-07-14,224.51000000000002,14,0,8,1,,,,,,
27735555294,2025-07-14,223.79999999999998,11,0,6,1,,,,,,
27705989494,2025-07-14,223.58000000000004,14,1,9,1,Thembeka,Sontuli,Pretoria,,2024-10-27,ArrowMobile
27769031933,2025-07-14,221.76999999999998,11,0,9,1,Bhekokwakhe,Mbatha,Johannesburg,,2025-06-06,ArrowMobile
27749895634,2025-07-14,220.19999999999996,16,0,12,1,Minenhle,Mondise,Johannesburg,,2025-02-16,ArrowMobile
27747753873,2025-07-14,218.51,13,1,5,1,Njabulo,Ndabezitha,Johannesburg,,2025-01-28,ArrowMobile
27717286902,2025-07-14,218.11,10,0,4,1,,,,,,
27749758825,2025-07-14,215.39000000000004,14,1,10,1,Nokulunga,Gedeza,Johannesburg,23 10 2000,2025-01-11,VMobile
27797256727,2025-07-14,213.97999999999996,16,0,11,1,Bhekokwakhe,Dwala,Durban,,2024-09-21,ArrowMobile
27719396045,2025-07-14,213.93999999999997,15,0,8,1,,,,,,
27749852120,2025-07-14,213.72,12,1,6,1,,,,,,
27770945460,2025-07-14,213.56,12,0,7,1,Thando,Ndlela,Durban,,2024-07-27,ArrowMobile
27782561720,2025-07-14,212.71,18,0,14,1,Todd,Jones,Cape Town,08 05 1991,2024-05-01,VMobile
27702983213,2025-07-14,211.38,14,1,10,1,,,,,,
27771192228,2025-07-14,210.18999999999997,11,1,7,1,Mario,Smith,Cape Town,25 10 2002,2025-01-09,VMobile
27775593486,2025-07-14,207.83,17,0,11,1,,,,,,
27745481138,2025-07-14,206.6,18,1,10,1,,,,,,
27710361466,2025-07-14,203.98999999999998,11,0,7,1,,,,,,
27733191788,2025-07-14,201.77999999999997,17,0,9,1,Musa,Nodlomo,Soshanguve,20 10 1999,2025-06-01,VMobile
27744810767,2025-07-14,200.73000000000002,11,0,8,1,Nomalanga,Ndima,Pretoria,22 08 2002,2024-11-13,VMobile
27736988792,2025-07-14,200.34999999999997,11,0,4,1,Hannah,Marquez,West Rand,29 09 1966,2024-05-24,VMobile
27701422836,2025-07-14,200.14,11,1,6,1,,,,,,
27747009358,2025-07-14,199.06999999999996,16,0,14,1,Teresa,Hurst,Cape Town,25 03 1998,2024-09-14,VMobile
27795199855,2025-07-14,198.85,11,1,5,1,Thabisile,Khuzwayo,Durban,,2025-01-07,ArrowMobile
27706833765,2025-07-14,197.20999999999998,19,0,14,1,Michael,Galloway,Witbank,29 06 1994,2025-01-14,VMobile
27758098548,2025-07-14,197.08,18,0,12,1,Carole,Matthews,Witbank,,2025-01-03,ArrowMobile
27739590700,2025-07-14,196.60999999999999,10,1,8,1,,,,,,
27726606265,2025-07-14,194.19,13,0,5,1,,,,,,
27750711986,2025-07-14,193.85,16,0,11,1,Njabulo,Dumisa,Johannesburg,,2023-08-05,ArrowMobile
27797558478,2025-07-14,193.63000000000002,14,0,8,1,Randall,Rocha,Johannesburg,25 10 1970,2023-09-04,VMobile
27700594567,2025-07-14,193.55999999999997,14,0,7,1,Donald,Lowe,Ekurhuleni,,2023-07-20,ArrowMobile
27729448431,2025-07-14,191.87,16,0,9,1,Bhekizizwe,Mbokazi,Pretoria,02 03 1998,2023-08-04,VMobile
27707578628,2025-07-14,190.08,14,0,10,1,,,,,,
27777782468,2025-07-14,189.99,17,1,9,1,,,,,,
27795246915,2025-07-14,188.87,15,0,11,1,Nozizwe,Lange,Pretoria,19 02 1954,2025-03-31,VMobile
27764364545,2025-07-14,188.33,12,0,9,1,Busisiwe,Mzulwini,Cape Town,,2024-02-07,ArrowMobile
27770950073,2025-07-14,188.19,17,0,10,1,Georgia,Price,Johannesburg,17 06 1956,2025-03-06,VMobile
27763379489,2025-07-14,185.45,11,0,6,1,,,,,,
27777937454,2025-07-14,184.87999999999997,8,0,3,1,Wanda,Santos,Durban,,2024-09-18,ArrowMobile
27715983327,2025-07-14,184.42999999999998,15,0,10,1,,,,,,
27761477359,2025-07-14,184.36999999999998,11,0,6,1,,,,,,
27721345908,2025-07-14,184.35000000000002,14,0,7,1,Nomathalente,Gubhuza,Cape Town,,2024-04-26,ArrowMobile
27720593040,2025-07-14,183.19,19,0,9,1,Sihawukele,Ndawo,Johannesburg,,2024-06-18,ArrowMobile
27798844055,2025-07-14,182.52999999999997,11,0,4,1,Mthokozisi,Sishiya,Ekurhuleni,28 03 1977,2024-10-26,VMobile
27713173581,2025-07-14,178.84999999999994,14,0,7,1,Julia,Howard,Ekurhuleni,06 03 1944,2025-05-13,VMobile
